sport_median,sport_std,sport_entropy,sport_cv,sport_cvq,sport_rte,tcp_seq_median,tcp_seq_mean,tcp_seq_std,tcp_seq_entropy,tcp_seq_cv,tcp_seq_cvq,tcp_seq_rte,tcp_window_median,tcp_window_entropy,tcp_window_cvq,tcp_window_rte,Label1
0.998106285,0.004350937,0.007839522,0.004368083,0.00471036,0.100200401,0.490815981,0.469613039,0.325996148,0.011342195,0.664192204,0.890895034,0.601202405,0.00859589,0.002114619,0.98443712,0.006012024,0
0.996749409,0.004889037,0.007839522,0.00491107,0.00522969,0.100200401,0.576450052,0.578042146,0.262766286,0.011342195,0.455835307,0.646938267,0.601202405,0.00859589,0.002114619,0.98443712,0.006012024,0
0.998583737,0.005650656,0.007839522,0.005680045,0.005985606,0.100200401,0.507075996,0.483425463,0.274792819,0.011342195,0.541916441,0.78239922,0.601202405,0.00859589,0.002114619,0.98443712,0.006012024,0
0.998527159,0.006740814,0.007839522,0.006779296,0.007104153,0.100200401,0.512212577,0.49986956,0.304323391,0.011342195,0.594134944,0.82305372,0.601202405,0.00859589,0.002114619,0.98443712,0.006012024,0
0.998589148,0.00672531,0.007839522,0.006756607,0.007649418,0.100200401,0.473721226,0.422488089,0.308399007,0.011342195,0.651013698,0.796610197,0.601202405,0.00859589,0.002114619,0.98443712,0.006012024,0
0.998533638,0.007630585,0.007839522,0.007669331,0.007709772,0.100200401,0.460579294,0.436676557,0.272137413,0.011342195,0.590858983,0.828212259,0.601202405,0.00859589,0.002114619,0.98443712,0.006012024,0
0.998537584,0.005126186,0.007839522,0.005140426,0.001148186,0.100200401,0.473651295,0.409009031,0.295350715,0.011342195,0.623561507,0.777071229,0.601202405,0.00859589,0.002114619,0.98443712,0.006012024,0
0.998541594,0.004235154,0.007839522,0.004245268,0.001145034,0.100200401,0.527485614,0.527412266,0.319406416,0.011342195,0.605526307,0.871682543,0.601202405,0.00859589,0.002114619,0.98443712,0.006012024,0
0.998545666,0.004721201,0.007839522,0.00473218,0.001141832,0.100200401,0.450682952,0.467306326,0.280441753,0.011342195,0.622259511,0.855673782,0.601202405,0.00859589,0.002114619,0.98443712,0.006012024,0
0.998549884,0.000836311,0.007839522,0.000837503,0.001138516,0.100200401,0.537879592,0.550425564,0.284326146,0.011342195,0.528605566,0.759836925,0.601202405,0.00859589,0.002114619,0.98443712,0.006012024,0
0.998553827,0.008763012,0.007839522,0.008794003,0.001135416,0.100200401,0.511828303,0.548917235,0.298868928,0.011342195,0.583924191,0.823267308,0.601202405,0.00859589,0.002114619,0.98443712,0.006012024,0
0.998557914,0.004419127,0.007839522,0.004428018,0.001132202,0.100200401,0.549348492,0.527047744,0.299153311,0.011342195,0.544560176,0.776763279,0.601202405,0.00859589,0.002114619,0.98443712,0.006012024,0
0.998562061,0.000829288,0.007839522,0.00083046,0.001128941,0.100200401,0.505444338,0.480483516,0.311647657,0.011342195,0.616581557,0.828077175,0.601202405,0.00859589,0.002114619,0.98443712,0.006012024,0
0.998566185,0.00082691,0.007839522,0.000828076,0.001125699,0.100200401,0.486702171,0.466674757,0.295595991,0.011342195,0.607344714,0.796518304,0.601202405,0.00859589,0.002114619,0.98443712,0.006012024,0
0.998570285,0.000824545,0.007839522,0.000825704,0.001122476,0.100200401,0.522333095,0.565648547,0.295354194,0.011342195,0.56545181,0.776332334,0.601202405,0.00859589,0.002114619,0.98443712,0.006012024,0
0.998574361,0.000822194,0.007839522,0.000823347,0.001119271,0.100200401,0.511789634,0.478063988,0.318067739,0.011342195,0.621481401,0.80548238,0.601202405,0.00859589,0.002114619,0.98443712,0.006012024,0
0.998578415,0.000819856,0.007839522,0.000821003,0.001116084,0.100200401,0.463508976,0.423614299,0.257986855,0.011342195,0.556595164,0.700421764,0.601202405,0.00859589,0.002114619,0.98443712,0.006012024,0
0.998582445,0.000817532,0.007839522,0.000818672,0.001112915,0.100200401,0.539492205,0.52289611,0.265370556,0.011342195,0.49188951,0.754226111,0.601202405,0.00859589,0.002114619,0.98443712,0.006012024,0
0.998586453,0.000815221,0.007839522,0.000816354,0.001109765,0.100200401,0.52651135,0.596812785,0.296159665,0.011342195,0.562494361,0.84386032,0.601202405,0.00859589,0.002114619,0.98443712,0.006012024,0
0.998590438,0.000812923,0.007839522,0.000814049,0.001106632,0.100200401,0.492240907,0.489668076,0.30567037,0.011342195,0.620977179,0.838404496,0.601202405,0.00859589,0.002114619,0.98443712,0.006012024,0
0.9985944,0.000810637,0.007839522,0.000811758,0.001103517,0.100200401,0.483961834,0.384001362,0.30344473,0.011342195,0.627001363,0.754695313,0.601202405,0.00859589,0.002114619,0.98443712,0.006012024,0
0.99859834,0.000808365,0.007839522,0.000809479,0.001100419,0.100200401,0.479327306,0.460820382,0.306820872,0.011342195,0.640107226,0.825769405,0.601202405,0.00859589,0.002114619,0.98443712,0.006012024,0
0.998602259,0.000806105,0.007839522,0.000807213,0.001097338,0.100200401,0.472427673,0.440513017,0.282694303,0.011342195,0.598386417,0.756892139,0.601202405,0.00859589,0.002114619,0.98443712,0.006012024,0
0.998606155,0.000803858,0.007839522,0.00080496,0.001094275,0.100200401,0.50012218,0.512842579,0.33389063,0.011342195,0.667618121,0.90629818,0.601202405,0.00859589,0.002114619,0.98443712,0.006012024,0
0.99861003,0.000801623,0.007839522,0.000802719,0.001091229,0.100200401,0.530542593,0.551162294,0.268625686,0.011342195,0.506322563,0.805979615,0.601202405,0.00859589,0.002114619,0.98443712,0.006012024,0
0.998613883,0.000799401,0.007839522,0.000800491,0.0010882,0.100200401,0.565344225,0.666466721,0.298911451,0.011342195,0.528724691,0.763186066,0.601202405,0.00859589,0.002114619,0.98443712,0.006012024,0
0.998617715,0.000797191,0.007839522,0.000798275,0.001085187,0.100200401,0.5313897,0.529745364,0.266695381,0.011342195,0.501882859,0.805382048,0.601202405,0.00859589,0.002114619,0.98443712,0.006012024,0
0.998621526,0.000794993,0.007839522,0.000796071,0.001082191,0.100200401,0.529380786,0.54179706,0.276541385,0.011342195,0.522386516,0.818770699,0.601202405,0.00859589,0.002114619,0.98443712,0.006012024,0
0.998625316,0.000792807,0.007839522,0.000793879,0.001079212,0.100200401,0.579712907,0.616220866,0.30550796,0.011342195,0.526998721,0.868075126,0.601202405,0.00859589,0.002114619,0.98443712,0.006012024,0
0.995192308,0.117361899,0.007255009,0.127194279,0.152663791,0.076152305,0.448042587,0.475324413,0.306503223,0.011342195,0.684093949,0.843388534,0.601202405,0.00859589,0.002114619,0.98443712,0.006012024,0
0.998061937,0.003983784,0.007044391,0.003998528,0.004991883,0.068136273,0.494387228,0.479278375,0.308128175,0.011342195,0.623252702,0.860893235,0.601202405,0.00859589,0.002114619,0.98443712,0.006012024,0
0.999314074,0.003963356,0.007057905,0.003973807,0.003746684,0.068136273,0.455212295,0.444066233,0.312318888,0.011342195,0.686095019,0.875455009,0.601202405,0.00859589,0.002114619,0.98443712,0.006012024,0
0.99661263,0.005569637,0.007049098,0.005594037,0.005270626,0.068136273,0.553606564,0.593581317,0.260739252,0.011342195,0.470982948,0.666110836,0.601202405,0.00859589,0.002114619,0.98443712,0.006012024,0
0.999355281,0.004677595,0.007044391,0.004692998,0.00485948,0.068136273,0.565964214,0.658594552,0.284777259,0.011342195,0.503171846,0.689225574,0.601202405,0.00859589,0.002114619,0.98443712,0.006012024,0
0.9993558,0.004367702,0.007057905,0.004382332,0.00369809,0.068136273,0.506160385,0.500194929,0.286168239,0.011347762,0.565370675,0.751802532,0.603206413,0.00859589,0.002114619,0.98443712,0.006012024,0
0.999356266,0.006244149,0.007049098,0.006276339,0.006965126,0.068136273,0.533414979,0.588883101,0.33433327,0.011347762,0.626778932,0.836629524,0.603206413,0.00859589,0.002114619,0.98443712,0.006012024,0
0.999316803,0.004345001,0.007044391,0.004355493,0.004258583,0.068136273,0.433363508,0.423385197,0.278057337,0.011342195,0.6416261,0.803038821,0.601202405,0.00859589,0.002114619,0.98443712,0.006012024,0
0.999317543,0.004932622,0.007057905,0.004945459,0.004415768,0.068136273,0.510652206,0.51583152,0.335495541,0.011342195,0.656994207,0.925713105,0.601202405,0.00859589,0.002114619,0.98443712,0.006012024,0
0.999358332,0.006651321,0.007049098,0.006677979,0.008086689,0.068136273,0.4402401,0.460809955,0.249844808,0.011342195,0.567519425,0.778809271,0.601202405,0.00859589,0.002114619,0.98443712,0.006012024,0
0.999318992,0.006151301,0.007044391,0.006171411,0.006370711,0.068136273,0.455414572,0.416107142,0.333525665,0.011342195,0.732356155,0.901389264,0.601202405,0.00859589,0.002114619,0.98443712,0.006012024,0
0.999319701,0.00538642,0.007057905,0.005404045,0.006363783,0.068136273,0.580786399,0.622720067,0.287307132,0.011342195,0.494686399,0.66798566,0.601202405,0.00859589,0.002114619,0.98443712,0.006012024,0
