ip_proto,ip_len_mean,ip_len_median,ip_len_var,ip_len_std,ip_len_entropy,ip_len_cv,ip_len_cvq,ip_len_rte,ip_ttl_mean,ip_ttl_median,ip_ttl_var,ip_ttl_std,ip_ttl_entropy,ip_ttl_cv,ip_ttl_cvq,ip_ttl_rte,sport_mean,sport_median,sport_var,sport_std,sport_entropy,sport_cv,sport_cvq,sport_rte,dport_mean,dport_median,dport_var,dport_std,dport_entropy,dport_cv,dport_cvq,dport_rte,tcp_seq_median,tcp_seq_mean,tcp_seq_var,tcp_seq_std,tcp_seq_entropy,tcp_seq_cv,tcp_seq_cvq,tcp_seq_rte,tcp_ack_mean,tcp_ack_median,tcp_ack_var,tcp_ack_std,tcp_ack_entropy,tcp_ack_cv,tcp_ack_cvq,tcp_ack_rte,tcp_dataofs_mean,tcp_dataofs_median,tcp_dataofs_var,tcp_dataofs_std,tcp_dataofs_entropy,tcp_dataofs_cv,tcp_dataofs_cvq,tcp_dataofs_rte,tcp_flags_mean,tcp_flags_median,tcp_flags_var,tcp_flags_std,tcp_flags_entropy,tcp_flags_cv,tcp_flags_cvq,tcp_flags_rte,tcp_window_mean,tcp_window_median,tcp_window_var,tcp_window_std,tcp_window_entropy,tcp_window_cv,tcp_window_cvq,tcp_window_rte,Label1
0.006,0.262966611,0.110169492,0.089055399,0.298421513,0.003504927,1,0.772428884,0.128256513,0.262966611,0.110169492,0.089055399,0.298421513,0.003504927,1,0.772428884,0.128256513,0.996074644,0.998106285,1.89e-05,0.004350937,0.007839522,0.004368083,0.00471036,0.100200401,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.002004008,0.490815981,0.469613039,0.106273489,0.325996148,0.011342195,0.664192204,0.890895034,0.601202405,0.408051351,0.384694929,0.110009236,0.331676403,0.009492736,0.812830056,1,0.402805611,0.84008016,0.8,0.006422484,0.080140399,0.001003923,0.095396133,0.111111111,0.004008016,0.6249165,0.666666667,0.089242379,0.29873463,0.002671362,0.478039274,0.846153846,0.008016032,0.206972095,0.00859589,0.157933972,0.397409074,0.002114619,1.0,0.98443712,0.006012024,0
0.006,0.263974301,0.111587983,0.088490989,0.297474351,0.003490676,1,0.770419426,0.126252505,0.263974301,0.111587983,0.088490989,0.297474351,0.003490676,1,0.770419426,0.126252505,0.995513486,0.996749409,2.39e-05,0.004889037,0.007839522,0.00491107,0.00522969,0.100200401,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.002004008,0.576450052,0.578042146,0.069046121,0.262766286,0.011342195,0.455835307,0.646938267,0.601202405,0.3928367,0.317261043,0.10404925,0.32256666,0.009492736,0.821121499,1,0.402805611,0.84008016,0.8,0.006422484,0.080140399,0.001003923,0.095396133,0.111111111,0.004008016,0.624832999,0.666666667,0.0892319,0.29871709,0.002668568,0.478075086,0.846153846,0.008016032,0.206972095,0.00859589,0.157933972,0.397409074,0.002114619,1.0,0.98443712,0.006012024,0
0.006,0.267897865,0.112068966,0.092387121,0.303952499,0.003530663,1,0.772925764,0.132264529,0.267897865,0.112068966,0.092387121,0.303952499,0.003530663,1,0.772925764,0.132264529,0.994825955,0.998583737,3.19e-05,0.005650656,0.007839522,0.005680045,0.005985606,0.100200401,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.002004008,0.507075996,0.483425463,0.075511093,0.274792819,0.011342195,0.541916441,0.78239922,0.601202405,0.424176052,0.401446102,0.12192418,0.349176431,0.009492736,0.823187517,1,0.402805611,0.84008016,0.8,0.006422484,0.080140399,0.001003923,0.095396133,0.111111111,0.004008016,0.6249165,0.666666667,0.089242379,0.29873463,0.002671362,0.478039274,0.846153846,0.008016032,0.206973605,0.00859589,0.157933371,0.397408318,0.002114619,1.0,0.98443712,0.006012024,0
0.006,0.262924135,0.111349036,0.087759058,0.296241554,0.003518164,1,0.767960732,0.132264529,0.262924135,0.111349036,0.087759058,0.296241554,0.003518164,1,0.767960732,0.132264529,0.994323512,0.998527159,4.54e-05,0.006740814,0.007839522,0.006779296,0.007104153,0.100200401,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.002004008,0.512212577,0.49986956,0.092612726,0.304323391,0.011342195,0.594134944,0.82305372,0.601202405,0.417267242,0.460200561,0.102621182,0.320345411,0.009492736,0.767722405,1,0.402805611,0.84008016,0.8,0.006422484,0.080140399,0.001003923,0.095396133,0.111111111,0.004008016,0.624832999,0.666666667,0.0892319,0.29871709,0.002668568,0.478075086,0.846153846,0.008016032,0.206972095,0.00859589,0.157933972,0.397409074,0.002114619,1.0,0.98443712,0.006012024,0
0.006,0.263094565,0.111111111,0.087983333,0.296619845,0.003556399,1,0.77092511,0.142284569,0.263094565,0.111111111,0.087983333,0.296619845,0.003556399,1,0.77092511,0.142284569,0.995367845,0.998589148,4.52e-05,0.00672531,0.007839522,0.006756607,0.007649418,0.100200401,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.002004008,0.473721226,0.422488089,0.095109947,0.308399007,0.011342195,0.651013698,0.796610197,0.601202405,0.460568144,0.462599147,0.126707253,0.355959623,0.009492736,0.772870698,1,0.402805611,0.84008016,0.8,0.006422484,0.080140399,0.001003923,0.095396133,0.111111111,0.004008016,0.6249165,0.666666667,0.089242379,0.29873463,0.002671362,0.478039274,0.846153846,0.008016032,0.206972095,0.00859589,0.157933972,0.397409074,0.002114619,1.0,0.98443712,0.006012024,0
0.006,0.263339582,0.111827957,0.08739964,0.295634302,0.003533501,1,0.76702509,0.132264529,0.263339582,0.111827957,0.08739964,0.295634302,0.003533501,1,0.76702509,0.132264529,0.994947958,0.998533638,5.82e-05,0.007630585,0.007839522,0.007669331,0.007709772,0.100200401,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.002004008,0.460579294,0.436676557,0.074058772,0.272137413,0.011342195,0.590858983,0.828212259,0.601202405,0.397586381,0.367973333,0.110615357,0.332588871,0.009492736,0.836519779,1,0.402805611,0.84008016,0.8,0.006422484,0.080140399,0.001003923,0.095396133,0.111111111,0.004008016,0.624832999,0.666666667,0.0892319,0.29871709,0.002668568,0.478075086,0.846153846,0.008016032,0.206972095,0.00859589,0.157933972,0.397409074,0.002114619,1.0,0.98443712,0.006012024,0
0.006,0.263628332,0.111827957,0.087834255,0.296368444,0.003483744,1,0.76702509,0.122244489,0.263628332,0.111827957,0.087834255,0.296368444,0.003483744,1,0.76702509,0.122244489,0.997229909,0.998537584,2.63e-05,0.005126186,0.007839522,0.005140426,0.001148186,0.100200401,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.002004008,0.473651295,0.409009031,0.087232045,0.295350715,0.011342195,0.623561507,0.777071229,0.601202405,0.41264981,0.410208499,0.111522159,0.333949335,0.009492736,0.809280236,1,0.402805611,0.84008016,0.8,0.006422484,0.080140399,0.001003923,0.095396133,0.111111111,0.004008016,0.624832999,0.666666667,0.0892319,0.29871709,0.002668568,0.478075086,0.846153846,0.008016032,0.206972095,0.00859589,0.157933972,0.397409074,0.002114619,1.0,0.98443712,0.006012024,0
0.006,0.261835773,0.110403397,0.087416578,0.295662947,0.003508116,1,0.76940133,0.126252505,0.261835773,0.110403397,0.087416578,0.295662947,0.003508116,1,0.76940133,0.126252505,0.997617449,0.998541594,1.79e-05,0.004235154,0.007839522,0.004245268,0.001145034,0.100200401,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.002004008,0.527485614,0.527412266,0.102020458,0.319406416,0.011342195,0.605526307,0.871682543,0.601202405,0.397878342,0.339955922,0.100341221,0.316766824,0.009492736,0.796139901,1,0.402805611,0.84008016,0.8,0.006422484,0.080140399,0.001003923,0.095396133,0.111111111,0.004008016,0.624832999,0.666666667,0.0892319,0.29871709,0.002668568,0.478075086,0.846153846,0.008016032,0.206972095,0.00859589,0.157933972,0.397409074,0.002114619,1.0,0.98443712,0.006012024,0
0.006,0.263759278,0.111587983,0.088240324,0.29705273,0.003520265,1,0.76940133,0.128256513,0.263759278,0.111587983,0.088240324,0.29705273,0.003520265,1,0.76940133,0.128256513,0.997680061,0.998545666,2.23e-05,0.004721201,0.007839522,0.00473218,0.001141832,0.100200401,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.002004008,0.450682952,0.467306326,0.078647577,0.280441753,0.011342195,0.622259511,0.855673782,0.601202405,0.441498784,0.470819951,0.118488924,0.344222202,0.009492736,0.779667384,1,0.402805611,0.84008016,0.8,0.006422484,0.080140399,0.001003923,0.095396133,0.111111111,0.004008016,0.624832999,0.666666667,0.0892319,0.29871709,0.002668568,0.478075086,0.846153846,0.008016032,0.206972095,0.00859589,0.157933972,0.397409074,0.002114619,1.0,0.98443712,0.006012024,0
0.006,0.259688869,0.110169492,0.085113148,0.291741577,0.003504927,1,0.769503546,0.124248497,0.259688869,0.110169492,0.085113148,0.291741577,0.003504927,1,0.769503546,0.124248497,0.998576038,0.998549884,6.99e-07,0.000836311,0.007839522,0.000837503,0.001138516,0.100200401,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.002004008,0.537879592,0.550425564,0.080841358,0.284326146,0.011342195,0.528605566,0.759836925,0.601202405,0.396566422,0.326054382,0.120967483,0.3478038,0.009492736,0.877037944,1,0.402805611,0.84008016,0.8,0.006422484,0.080140399,0.001003923,0.095396133,0.111111111,0.004008016,0.624832999,0.666666667,0.0892319,0.29871709,0.002668568,0.478075086,0.846153846,0.008016032,0.206972095,0.00859589,0.157933972,0.397409074,0.002114619,1.0,0.98443712,0.006012024,0
